
TextDatabase/0.txt

WORD ROOTS COUNT FOR FILE: TextDatabase/0.txt

WORD ROOT	COUNTS		FREQUENCY
---------------------------------------------
         a        70          0.00842764
       abl         3         0.000361185
      abli         1         0.000120395
     about        11          0.00132434
   absolut         1         0.000120395
    accept         1         0.000120395
 accompani         1         0.000120395
    accord         2          0.00024079
   account         1         0.000120395
   accumul         1         0.000120395
    across         1         0.000120395
    action         2          0.00024079
    actual         1         0.000120395
     admir         1         0.000120395
    advanc        13          0.00156513
    advent         1         0.000120395
     advis         1         0.000120395
    afford         2          0.00024079
     after         5         0.000601974
     again         6         0.000722369
   against         1         0.000120395
     agent         1         0.000120395
  agglomer         1         0.000120395
       ala         2          0.00024079
     alarm         2          0.00024079
       all        17          0.00204671
     alleg         1         0.000120395
    almost         1         0.000120395
      alon         1         0.000120395
     along        10          0.00120395
   alreadi         5         0.000601974
      also         8         0.000963159
     alway         2          0.00024079
        am         1         0.000120395
   amateur         1         0.000120395
      amid         1         0.000120395
   ammunit         1         0.000120395
    amount         1         0.000120395
        an        16          0.00192632
   ancient         1         0.000120395
       and       142           0.0170961
       ani         2          0.00024079
   announc         2          0.00024079
     anoth         3         0.000361185
   anxious         1         0.000120395
    apolog         1         0.000120395
     appar         1         0.000120395
    appear         3         0.000361185
  approach         1         0.000120395
       are         7         0.000842764
       arm         2          0.00024079
      armi         6         0.000722369
    arnold         1         0.000120395
    around         2          0.00024079
    arrest         2          0.00024079
     arriv         2          0.00024079
     arrow         1         0.000120395
       art         1         0.000120395
 artilleri         4          0.00048158
        as        27          0.00325066
   assault         2          0.00024079
   assembl         1         0.000120395
    assist         1         0.000120395
        at        45          0.00541777
    attack        11          0.00132434
   attempt         3         0.000361185
    attent         1         0.000120395
    audley         1         0.000120395
    author         1         0.000120395
 auxiliari         2          0.00024079
     await         1         0.000120395
      awar         1         0.000120395
      away         9          0.00108355
      back         8         0.000963159
       bad         2          0.00024079
   baldock         4          0.00048158
      bank         1         0.000120395
       bar         1         0.000120395
   bargain         1         0.000120395
  barricad         3         0.000361185
   barrier         1         0.000120395
   basford         1         0.000120395
bassingbourn         2          0.00024079
 battalion         2          0.00024079
   batteri         3         0.000361185
     battl         3         0.000361185
   bayonet         1         0.000120395
        be        23          0.00276908
      bear         1         0.000120395
     becom         1         0.000120395
      been        21          0.00252829
     befor         9          0.00108355
     began         4          0.00048158
     begin         1         0.000120395
    behind        10          0.00120395
    believ         1         0.000120395
   berwick         1         0.000120395
      best         2          0.00024079
    betray         1         0.000120395
   between         8         0.000963159
       big         2          0.00024079
birmingham         4          0.00048158
     block         1         0.000120395
     boast         1         0.000120395
      bodi         5         0.000601974
      bone         1         0.000120395
      boot         2          0.00024079
    boston         1         0.000120395
      both         2          0.00024079
    bottom         1         0.000120395
     brave         1         0.000120395
   braveri         2          0.00024079
     bread         1         0.000120395
   breweri         1         0.000120395
     bridg         2          0.00024079
 bridgford         1         0.000120395
    brigad         1         0.000120395
   british        10          0.00120395
   brought         1         0.000120395
      brow         1         0.000120395
     brown         2          0.00024079
     build         1         0.000120395
     built         2          0.00024079
      bulk         1         0.000120395
 bumpstead         2          0.00024079
   burslem         1         0.000120395
     burst         1         0.000120395
    burton         1         0.000120395
      busi         2          0.00024079
    busili         1         0.000120395
       but        21          0.00252829
        by        40           0.0048158
   byfield         1         0.000120395
      call         1         0.000120395
       cam         1         0.000120395
  cambridg         6         0.000722369
      came         4          0.00048158
       can         1         0.000120395
    cannon         1         0.000120395
    capabl         1         0.000120395
    captur         3         0.000361185
      care         1         0.000120395
   carlton         1         0.000120395
     carri         2          0.00024079
carrington         1         0.000120395
      case         1         0.000120395
   cathedr         3         0.000361185
      caus         1         0.000120395
   cavalri        11          0.00132434
     centr         1         0.000120395
   certain         4          0.00048158
      chao         1         0.000120395
     charg         4          0.00048158
     check         2          0.00024079
     cheer         1         0.000120395
chesterton         1         0.000120395
     chief         2          0.00024079
  children         1         0.000120395
      chin         1         0.000120395
  chrishal         3         0.000361185
      citi         3         0.000361185
     clear         2          0.00024079
     clock         1         0.000120395
     close         7         0.000842764
     cloth         1         0.000120395
   clumber         1         0.000120395
   cluster         1         0.000120395
     coach         2          0.00024079
coldstream         1         0.000120395
    colour         2          0.00024079
    combin         1         0.000120395
      come         1         0.000120395
   command         6         0.000722369
  communic         4          0.00048158
   compact         1         0.000120395
   compani         1         0.000120395
    compar         1         0.000120395
    compel         1         0.000120395
    compos         1         0.000120395
    comrad         1         0.000120395
   conceiv         1         0.000120395
  concentr         4          0.00048158
   concern         1         0.000120395
  conflagr         1         0.000120395
    confus         2          0.00024079
 congleton         1         0.000120395
   conquer         1         0.000120395
  consider         2          0.00024079
   consist         1         0.000120395
  constant         1         0.000120395
 construct         3         0.000361185
   contact         1         0.000120395
   contain         1         0.000120395
   contend         1         0.000120395
   contest         1         0.000120395
   continu         1         0.000120395
   contriv         1         0.000120395
   converg         2          0.00024079
  copeland         1         0.000120395
      cops         2          0.00024079
      corp        16          0.00192632
correspond         4          0.00048158
    costum         1         0.000120395
     could         4          0.00048158
     count         1         0.000120395
   countri         8         0.000963159
countrymen         1         0.000120395
     coupl         1         0.000120395
     cover         8         0.000963159
    crackl         1         0.000120395
     cross         1         0.000120395
     crowd         3         0.000361185
       cut         4          0.00048158
   cyclist         1         0.000120395
     daili         1         0.000120395
     damag         2          0.00024079
      dark         1         0.000120395
      dawn         1         0.000120395
       day         6         0.000722369
  daylight         1         0.000120395
      deal         1         0.000120395
    dealer         1         0.000120395
      dear         1         0.000120395
     death         1         0.000120395
      deep         2          0.00024079
    defeat         1         0.000120395
    defenc         3         0.000361185
    defend         1         0.000120395
   deliver         1         0.000120395
     delug         1         0.000120395
    demand         1         0.000120395
    depart         1         0.000120395
    deploy         2          0.00024079
    deprec         1         0.000120395
   describ         1         0.000120395
   despair         1         0.000120395
  despatch         1         0.000120395
    desper         1         0.000120395
    despit         1         0.000120395
   destroy         1         0.000120395
    detach         3         0.000361185
    detail         1         0.000120395
    detain         1         0.000120395
    detect         1         0.000120395
  determin         4          0.00048158
     devil         2          0.00024079
    differ         1         0.000120395
 difficult         1         0.000120395
       dig         1         0.000120395
    direct         3         0.000361185
  discharg         1         0.000120395
    discov         2          0.00024079
   discuss         1         0.000120395
  dismount         1         0.000120395
disorganis         3         0.000361185
    dispel         1         0.000120395
   display         1         0.000120395
    dispos         2          0.00024079
 distribut         1         0.000120395
     divis         5         0.000601974
        do         4          0.00048158
      done         1         0.000120395
      door         1         0.000120395
     doubt         1         0.000120395
   doulton         1         0.000120395
      down         8         0.000963159
     dozen         1         0.000120395
      drab         1         0.000120395
     dread         1         0.000120395
     drive         2          0.00024079
    driven         2          0.00024079
      drop         1         0.000120395
       due         1         0.000120395
      duel         1         0.000120395
       dug         1         0.000120395
      duke         1         0.000120395
      dure         2          0.00024079
      each         1         0.000120395
     earli         1         0.000120395
    easili         1         0.000120395
      east         6         0.000722369
   eastgat         1         0.000120395
  eastward         1         0.000120395
      eccl         1         0.000120395
       edg         1         0.000120395
 edinburgh         1         0.000120395
    effect         1         0.000120395
   effectu         1         0.000120395
    effort         1         0.000120395
     eight         2          0.00024079
    either         1         0.000120395
    elmdon         5         0.000601974
    emplac         1         0.000120395
    employ         1         0.000120395
     enabl         2          0.00024079
       end         2          0.00024079
 endeavour         2          0.00024079
     enemi        17          0.00204671
    energi         1         0.000120395
   england         3         0.000361185
   english         1         0.000120395
     enorm         2          0.00024079
    enough         3         0.000361185
   ensconc         1         0.000120395
      ensu         1         0.000120395
  entrench         6         0.000722369
   entrust         1         0.000120395
   envelop         1         0.000120395
     equip         1         0.000120395
     ermin         3         0.000361185
     escap         1         0.000120395
    escort         1         0.000120395
    especi         1         0.000120395
  espionag         1         0.000120395
 establish         1         0.000120395
    eventu         1         0.000120395
      ever         1         0.000120395
     everi         4          0.00048158
   everyth         2          0.00024079
 everywher         1         0.000120395
      evid         3         0.000361185
     exact         1         0.000120395
    examin         1         0.000120395
     excel         1         0.000120395
    except         2          0.00024079
   exchang         1         0.000120395
   exchequ         1         0.000120395
     exert         1         0.000120395
     exist         1         0.000120395
    explos         1         0.000120395
     expos         1         0.000120395
    extend         1         0.000120395
    extent         1         0.000120395
       eye         1         0.000120395
      fact         1         0.000120395
   factori         4          0.00048158
      fall         3         0.000361185
     famin         1         0.000120395
    famous         3         0.000361185
     fanci         1         0.000120395
       far         2          0.00024079
      farm         1         0.000120395
    farmer         1         0.000120395
   farther         1         0.000120395
      fast         1         0.000120395
fatherland         1         0.000120395
      fear         1         0.000120395
      feet         1         0.000120395
      fell         2          0.00024079
       few         3         0.000361185
     field         6         0.000722369
     fierc         1         0.000120395
  fiercest         1         0.000120395
   fifteen         1         0.000120395
     fight         4          0.00048158
      fill         1         0.000120395
     final         4          0.00048158
      fine         1         0.000120395
    finish         1         0.000120395
      fire         8         0.000963159
     first         5         0.000601974
       fix         1         0.000120395
      flag         1         0.000120395
     flame         1         0.000120395
     flank         4          0.00048158
     flash         1         0.000120395
       fli         1         0.000120395
     float         1         0.000120395
       fog         1         0.000120395
    follow         5         0.000601974
   foolish         1         0.000120395
      foot         2          0.00024079
       for        13          0.00156513
      forc         8         0.000963159
   foreign         1         0.000120395
    format         3         0.000361185
    former         1         0.000120395
    formid         2          0.00024079
    fortif         1         0.000120395
    fortun         1         0.000120395
   forward         1         0.000120395
    fought         1         0.000120395
     found         1         0.000120395
      four         3         0.000361185
    fourth         1         0.000120395
   fowlmer         3         0.000361185
   frantic         1         0.000120395
    frenzi         1         0.000120395
    friday         2          0.00024079
      from        36          0.00433422
     front         5         0.000601974
   frontal         1         0.000120395
   frölich         2          0.00024079
      full         1         0.000120395
    fusili         2          0.00024079
     futur         1         0.000120395
      gain         1         0.000120395
   gallant         4          0.00048158
    gallop         5         0.000601974
      gard         5         0.000601974
  garrison         1         0.000120395
      gate         2          0.00024079
    gather         1         0.000120395
   general         3         0.000361185
generalissimo         1         0.000120395
    genius         1         0.000120395
    german        42          0.00505659
       get         4          0.00048158
      give         1         0.000120395
     given         1         0.000120395
     glass         2          0.00024079
   glimmer         1         0.000120395
    glimps         1         0.000120395
  glorious         1         0.000120395
        go         3         0.000361185
      good         3         0.000361185
      gool         1         0.000120395
       got         1         0.000120395
     gough         1         0.000120395
   gradual         1         0.000120395
     grand         1         0.000120395
     great         5         0.000601974
   greater         3         0.000361185
  greatest         2          0.00024079
  greengat         1         0.000120395
    ground         7         0.000842764
     group         1         0.000120395
